X,Y,Z
4656.51,6667.70,2371.41
4666.47,6670.37,2391.58
4676.29,6673.26,2411.89
4685.96,6676.38,2432.34
4695.47,6679.74,2452.94
4704.82,6683.32,2473.67
4714.00,6687.13,2494.55
4723.02,6691.17,2515.56
4731.86,6695.44,2536.72
4740.51,6699.95,2558.01
4748.98,6704.68,2579.43
4757.26,6709.65,2601.00
4765.34,6714.85,2622.70
4773.22,6720.27,2644.53
4780.90,6725.94,2666.49
4788.36,6731.83,2688.58
4795.60,6737.95,2710.80
4802.63,6744.31,2733.14
4809.42,6750.90,2755.61
4815.98,6757.72,2778.20
4822.30,6764.77,2800.91
4828.38,6772.06,2823.74
4834.21,6779.57,2846.68
4839.79,6787.32,2869.74
4845.10,6795.29,2892.90
4850.15,6803.50,2916.17
4854.94,6811.93,2939.55
4859.44,6820.60,2963.03
4863.67,6829.49,2986.60
4867.61,6838.62,3010.27
4871.26,6847.97,3034.03
4874.62,6857.54,3057.87
4877.67,6867.34,3081.80
4880.42,6877.37,3105.81
4882.86,6887.62,3129.90
4884.98,6898.10,3154.06
4886.78,6908.79,3178.28
4888.26,6919.71,3202.57
4889.40,6930.85,3226.92
4890.21,6942.20,3251.32
4890.69,6953.78,3275.77
4890.81,6965.57,3300.27
4890.59,6977.57,3324.80
4890.02,6989.79,3349.37
4889.09,7002.21,3373.97
4887.79,7014.85,3398.60
4886.14,7027.70,3423.24
4884.11,7040.75,3447.90
4881.70,7054.00,3472.56
4878.92,7067.46,3497.22
4875.76,7081.12,3521.88
4872.21,7094.97,3546.54
4868.27,7109.03,3571.17
4863.94,7123.27,3595.78
4859.21,7137.71,3620.37
4854.08,7152.33,3644.92
4848.55,7167.14,3669.42
4842.62,7182.14,3693.88
4836.28,7197.32,3718.29
4829.52,7212.67,3742.63
4822.35,7228.20,3766.90
4814.77,7243.90,3791.10
4806.77,7259.77,3815.22
4798.34,7275.81,3839.24
4789.50,7292.01,3863.17
4780.22,7308.38,3887.00
4770.53,7324.89,3910.71
4760.40,7341.57,3934.31
4749.85,7358.39,3957.78
4738.86,7375.36,3981.12
4727.45,7392.47,4004.31
4715.60,7409.72,4027.36
4703.32,7427.11,4050.25
4690.60,7444.63,4072.98
4677.45,7462.28,4095.54
4663.87,7480.05,4117.91
4649.85,7497.94,4140.11
4635.40,7515.95,4162.10
4620.52,7534.07,4183.90
4605.20,7552.29,4205.48
4589.45,7570.62,4226.85
4573.27,7589.05,4247.99
4556.66,7607.58,4268.90
4539.62,7626.19,4289.57
4522.15,7644.89,4309.99
4504.26,7663.67,4330.15
4485.94,7682.53,4350.05
4467.20,7701.46,4369.68
4448.04,7720.46,4389.03
4428.47,7739.52,4408.10
4408.48,7758.64,4426.87
4388.08,7777.81,4445.34
4367.27,7797.02,4463.50
4346.06,7816.29,4481.34
4324.44,7835.58,4498.86
4302.43,7854.92,4516.05
4280.02,7874.28,4532.91
4257.22,7893.66,4549.41
4234.04,7913.06,4565.57
4210.48,7932.47,4581.37
4186.53,7951.89,4596.81
4162.22,7971.31,4611.87
4137.54,7990.73,4626.55
4112.50,8010.14,4640.86
4087.10,8029.54,4654.77
4061.35,8048.92,4668.28
4035.25,8068.28,4681.39
4008.82,8087.60,4694.09
3982.05,8106.89,4706.38
3954.95,8126.14,4718.24
3927.53,8145.35,4729.68
3899.80,8164.51,4740.69
3871.76,8183.61,4751.27
3843.42,8202.64,4761.40
3814.78,8221.62,4771.08
3785.86,8240.52,4780.32
3756.65,8259.34,4789.10
3727.18,8278.08,4797.41
3697.44,8296.74,4805.27
3667.44,8315.30,4812.65
3637.19,8333.76,4819.57
3606.70,8352.13,4826.01
3575.98,8370.38,4831.96
3545.03,8388.52,4837.44
